-22,-364,415,NA,NA,NA,NA,40716-10434300
-42,-309,414,NA,NA,NA,NA,40716-10434400
-32,-345,416,NA,NA,NA,NA,40716-10434500
-26,-389,471,NA,NA,NA,NA,40716-10434500
-26,-329,452,NA,NA,NA,NA,40716-10434600
-6,-352,434,NA,NA,NA,NA,40716-10434600
-44,-380,444,NA,NA,NA,NA,40716-10434600
-11,-332,456,NA,NA,NA,NA,40716-10434600
-33,-301,420,NA,NA,NA,NA,40716-10434800
-40,-310,444,NA,NA,NA,NA,40716-10434800
-38,-396,436,NA,NA,NA,NA,40716-10434900
-34,-416,472,NA,NA,NA,NA,40716-10434900
5,-409,472,NA,NA,NA,NA,40716-10434900
-5,-370,453,NA,NA,NA,NA,40716-10434900
-44,-373,448,NA,NA,NA,NA,40716-10435100
-41,-396,460,NA,NA,NA,NA,40716-10435100
-23,-321,462,NA,NA,NA,NA,40716-10435200
-54,-303,402,NA,NA,NA,NA,40716-10435200
13,-393,428,NA,NA,NA,NA,40716-10435300
-22,-349,458,NA,NA,NA,NA,40716-10435300
-11,-296,399,NA,NA,NA,NA,40716-10435400
-20,-341,427,NA,NA,NA,NA,40716-10435400
14,-390,417,NA,NA,NA,NA,40716-10435500
-37,-337,453,NA,NA,NA,NA,40716-10435500
-38,-305,448,NA,NA,NA,NA,40716-10435500
-40,-337,456,NA,NA,NA,NA,40716-10435500
-20,-332,418,NA,NA,NA,NA,40716-10435700
-24,-330,464,NA,NA,NA,NA,40716-10435700
-24,-320,425,NA,NA,NA,NA,40716-10435800
-27,-387,434,NA,NA,NA,NA,40716-10435800
1,-358,424,NA,NA,NA,NA,40716-10435900
-9,-416,447,NA,NA,NA,NA,40716-10435900
-46,-384,448,NA,NA,NA,NA,40716-10440000
-28,-395,436,NA,NA,NA,NA,40716-10440000
-30,-329,412,NA,NA,NA,NA,40716-10440100
-18,-384,456,NA,NA,NA,NA,40716-10440100
-42,-392,456,NA,NA,NA,NA,40716-10440200
1,-388,442,NA,NA,NA,NA,40716-10440200
-20,-353,442,NA,NA,NA,NA,40716-10440300
7,-333,437,NA,NA,NA,NA,40716-10440300
